Station Code,Station Name,District,Latitude,Longitude,Year,Month,Day,RF in mm
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,1,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,2,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,3,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,4,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,5,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,6,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,7,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,8,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,9,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,10,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,11,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,12,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,13,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,14,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,15,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,16,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,17,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,18,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,19,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,20,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,21,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,22,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,23,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,24,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,25,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,26,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,27,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,28,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,29,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,30,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,1,31,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,1,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,2,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,3,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,4,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,5,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,6,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,7,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,8,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,9,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,10,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,11,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,12,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,13,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,14,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,15,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,16,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,17,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,18,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,19,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,20,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,21,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,22,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,23,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,24,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,2,25,0.00
