Station Code,Station Name,District,Latitude,Longitude,Year,Month,Day,RF in mm
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,1,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,2,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,3,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,4,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,5,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,6,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,7,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,8,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,9,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,10,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,11,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,12,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,13,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,14,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,15,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,16,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,17,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,18,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,19,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,20,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,21,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,22,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,23,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,24,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,25,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,26,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,27,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,28,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,29,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,30,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,1,31,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,1,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,2,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,3,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,4,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,5,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,6,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,7,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,8,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,9,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,10,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,11,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,12,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,13,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,14,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,15,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,16,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,17,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,18,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,19,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,20,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,21,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,22,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,23,52.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,24,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,25,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,26,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,27,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,2,28,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,1,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,2,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,3,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,4,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,5,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,6,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,7,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,8,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,9,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,10,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,11,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,12,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,13,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,14,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,15,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,16,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,17,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,18,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,19,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,20,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,21,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,22,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,23,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,24,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,25,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,26,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,27,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,28,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,29,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,30,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,3,31,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,1,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,2,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,3,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,4,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,5,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,6,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,7,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,8,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,9,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,10,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,11,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,12,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,13,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,14,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,15,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,16,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,17,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,18,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,19,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,20,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,21,8.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,22,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,23,62.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,24,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,25,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,26,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,27,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,28,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,29,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,4,30,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,5,1,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,5,2,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,5,3,0.00
